,Car Brand,Car Model,Year,Engine Size (L),Horsepower (hp),Torque (lb-ft),0-60 mph Time (s)
457,Bentley,R8 V10 Plus,2020,6.11,1091,1174,3.56
458,Rimac,F-Type SVR,2016,7.46,1014,385,3.61
459,Aston Martin,R8 V10 Plus,2019,6.06,1003,761,3.16
460,Lotus,R8 V10 Plus,2016,6.7,1157,436,2.35
461,Koenigsegg,GT-R Nismo,2022,5.66,1222,331,4.44
462,Maserati,M4,2022,6.79,1041,446,3.75
463,Rolls-Royce,Mustang Shelby GT500,2022,7.8,419,464,3.04
464,Ford,911 Turbo S,2016,7.46,590,477,2.47
465,Porsche,Mustang Shelby GT500,2019,5.13,369,581,4.35
466,Polestar,GT-R Nismo,2023,5.75,491,364,3.09
467,Bugatti,720S,2022,6.23,673,1023,4.4
468,Ford,F-Type SVR,2023,5.47,1433,641,3.05
469,Lamborghini,F-Type SVR,2019,7.55,700,385,2.76
470,Audi,720S,2023,5.12,411,556,3.01
471,Jaguar,Supra,2017,5.29,1169,383,4.01
472,Ariel,Challenger SRT Hellcat,2020,6.93,431,778,4.38
473,Nissan,Mustang Shelby GT500,2022,7.7,319,849,2.24
474,Audi,NSX,2021,4.54,394,1153,4.32
475,Pagani,F-Type SVR,2020,3.29,819,1058,3.85
476,Nissan,Huracan Evo,2023,3.76,1200,681,3.64
477,Kia,Vantage,2016,7.29,394,996,2.92
478,Rolls-Royce,Supra,2017,4.9,759,510,2.91
479,Dodge,488 GTB,2017,5.78,737,533,2.3
480,Porsche,GT R,2022,5.86,302,1009,4.23
481,Toyota,Huracan Evo,2023,8.0,1050,860,2.19
482,Ferrari,720S,2019,4.01,1473,454,3.57
483,Ford,GT-R Nismo,2022,7.27,642,361,3.85
484,Lexus,NSX,2017,3.54,966,843,2.55
485,Audi,M4,2019,4.48,520,1164,3.29
486,Audi,GT R,2017,3.28,1429,917,3.14
487,Rolls-Royce,Huracan Evo,2019,5.22,713,1152,3.46
488,Bentley,Supra,2023,4.93,916,1085,4.43
489,Maserati,Vantage,2021,4.46,960,530,3.35
490,TVR,720S,2023,5.75,1296,936,2.01
491,Ariel,M4,2023,7.43,777,729,3.98
492,Ford,911 Turbo S,2018,5.57,621,448,3.06
493,Nissan,GT-R Nismo,2021,6.22,986,407,3.42
494,Aston Martin,Huracan Evo,2020,6.67,533,1113,4.38
495,Alfa Romeo,Vantage,2019,7.57,989,1126,2.13
496,Lotus,GT R,2022,5.69,1497,1191,3.98
497,Tesla,Vantage,2019,6.91,494,449,2.3
498,Porsche,Huracan Evo,2017,4.31,1195,1156,3.03
499,Lexus,Supra,2018,4.38,452,537,2.54
500,Ariel,Huracan Evo,2017,3.64,883,1098,2.19
501,McLaren,M4,2017,3.88,951,816,2.13
502,W Motors,Corvette Z06,2018,3.48,860,992,3.83
503,Kia,NSX,2018,4.13,496,1047,3.33
504,Aston Martin,GT R,2018,7.47,1468,1169,2.81
505,Mercedes-Benz,Huracan Evo,2020,3.75,1491,1149,2.59
506,Bugatti,Challenger SRT Hellcat,2020,3.03,1346,508,2.86
507,Lotus,720S,2020,4.89,908,926,3.1
508,Ultima,Challenger SRT Hellcat,2021,4.36,1445,497,3.21
509,Koenigsegg,Huracan Evo,2022,3.74,606,902,2.38
510,Toyota,GT-R Nismo,2022,4.17,573,708,2.18
511,Pininfarina,NSX,2017,4.5,733,1107,4.24
512,Toyota,GT R,2023,6.67,856,1018,4.39
513,Pagani,720S,2019,6.04,881,755,4.1
514,Mazda,R8 V10 Plus,2016,7.06,461,707,2.98
515,Tesla,M4,2016,3.44,613,740,3.75
516,Ariel,Challenger SRT Hellcat,2020,4.72,780,728,3.14
517,W Motors,Vantage,2016,5.97,1113,766,2.65
518,McLaren,Corvette Z06,2022,7.03,1224,616,2.1
519,Lotus,Vantage,2018,3.38,596,832,2.51
520,Alfa Romeo,Mustang Shelby GT500,2021,6.88,943,992,3.8
521,Pininfarina,Vantage,2022,6.08,1028,841,4.18
522,Chevrolet,GT R,2017,5.27,450,328,2.98
523,BMW,Challenger SRT Hellcat,2016,6.99,592,404,3.07
524,Subaru,Supra,2023,7.15,860,901,4.44
525,Porsche,Mustang Shelby GT500,2017,7.59,1343,874,2.14
526,Acura,Vantage,2017,7.04,1311,814,3.47
527,Bentley,GT-R Nismo,2019,3.19,744,1000,2.18
528,Bugatti,911 Turbo S,2018,6.7,889,1161,3.43
529,Shelby,488 GTB,2020,3.98,460,1025,2.7
530,Alpine,488 GTB,2022,4.17,1199,804,2.46
531,Kia,Supra,2019,3.83,1035,1192,2.39
532,Polestar,GT-R Nismo,2023,3.45,1097,462,2.07
533,W Motors,Mustang Shelby GT500,2017,3.62,439,1053,4.23
534,Porsche,Challenger SRT Hellcat,2016,6.21,830,798,2.74
535,Pagani,R8 V10 Plus,2021,3.02,1316,886,3.73
536,Ferrari,Supra,2023,4.25,1407,656,2.94
537,Maserati,F-Type SVR,2020,4.58,1484,582,3.84
538,Dodge,Supra,2020,3.36,1182,818,3.41
539,Tesla,Vantage,2017,6.47,1041,634,3.48
540,Ferrari,Supra,2018,3.57,466,725,3.24
541,Audi,Mustang Shelby GT500,2017,4.5,595,421,2.71
542,Bugatti,Vantage,2020,6.01,389,461,3.96
543,Bentley,Supra,2016,3.73,1026,634,3.71
544,TVR,488 GTB,2016,7.89,1431,443,3.67
545,Kia,488 GTB,2020,7.3,372,1128,2.67
546,Bentley,488 GTB,2021,7.98,564,375,3.08
547,Shelby,488 GTB,2019,3.84,1407,853,2.92
548,Kia,GT R,2020,4.54,809,320,4.13
549,Audi,NSX,2021,3.39,456,758,2.96
550,BMW,Huracan Evo,2022,5.94,634,995,4.37
551,Aston Martin,Corvette Z06,2021,3.98,509,974,2.32
552,McLaren,Challenger SRT Hellcat,2017,4.22,790,1008,3.6
553,Lexus,Corvette Z06,2018,7.03,797,1004,3.59
554,Mercedes-AMG,F-Type SVR,2021,7.73,565,658,4.2
555,Pininfarina,720S,2017,5.58,771,329,2.87
556,Nissan,488 GTB,2016,3.93,876,821,2.13
557,Lexus,Challenger SRT Hellcat,2019,7.24,1054,374,4.35
558,Ferrari,R8 V10 Plus,2023,4.35,416,668,2.64
559,Bugatti,720S,2023,4.78,320,966,2.65
560,Bugatti,Vantage,2017,4.15,1001,558,3.78
561,Ferrari,F-Type SVR,2018,3.58,301,588,2.31
562,Pagani,GT R,2017,3.13,768,470,3.94
563,Maserati,Challenger SRT Hellcat,2019,3.55,454,461,3.03
564,Lotus,M4,2021,6.62,313,598,4.09
565,Mazda,GT-R Nismo,2018,4.8,583,1043,2.5
566,Ariel,Vantage,2016,3.6,1124,1095,4.36
567,McLaren,488 GTB,2020,7.82,906,1028,4.03
568,Lamborghini,GT-R Nismo,2021,6.18,1286,461,2.75
569,Pininfarina,Vantage,2022,3.37,535,1068,2.73
